time,net
1433,0.005637567
1434,0.005639271
1435,0.005642112
1436,0.005643248
1437,0.005644953
1438,0.005646659
1439,0.005647796
1440,0.005649502
1441,0.005652347
1442,0.005655194
1443,0.005655763
1444,0.005659181
1445,0.00566032
1446,0.005663169
1447,0.00566602
1448,0.00566659
1449,0.005667731
1450,0.005668301
1451,0.005671154
1452,0.005671154
1453,0.005672295
1454,0.005675719
1455,0.005676861
1456,0.005678003
1457,0.005680859
1458,0.005682001
1459,0.005684287
1460,0.00568543
1461,0.00568543
1462,0.005687145
1463,0.005690577
1464,0.005691722
1465,0.00569401
1466,0.005695728
1467,0.00569859
1468,0.005702026
1469,0.005702026
1470,0.005702599
1471,0.005702599
1472,0.005703745
1473,0.005706036
1474,0.005707756
1475,0.005708329
1476,0.005708903
1477,0.005710051
1478,0.005710624
1479,0.005710624
1480,0.00571292
1481,0.005714642
1482,0.005716364
1483,0.005717513
1484,0.005718087
1485,0.00571981
1486,0.005720959
1487,0.005723257
1488,0.005723832
1489,0.005724407
1490,0.005726132
1491,0.005726707
1492,0.005729008
1493,0.005730158
1494,0.005731309
1495,0.005733612
1496,0.005735915
1497,0.00573822
1498,0.005741102
1499,0.005743985
1500,0.005746292
1501,0.005749178
1502,0.005749178
1503,0.005750332
1504,0.005752065
1505,0.005752065
1506,0.005754376
1507,0.005755532
1508,0.00575611
1509,0.005757844
1510,0.005759578
1511,0.005763049
1512,0.005764785
1513,0.005766522
1514,0.005768839
1515,0.005771158
1516,0.005772317
1517,0.005774057
1518,0.005776377
1519,0.005777537
1520,0.005779278
1521,0.005781601
1522,0.005782762
1523,0.005784506
1524,0.005786249
1525,0.005787993
1526,0.005788574
1527,0.005789737
1528,0.0057909
1529,0.005793226
1530,0.005793808
1531,0.00579439
1532,0.005795554
1533,0.005797883
1534,0.005797883
1535,0.005800796
1536,0.005801378
1537,0.005802543
1538,0.005804874
1539,0.005806039
1540,0.005808954
1541,0.005811287
1542,0.005812453
1543,0.005813037
1544,0.00581537
1545,0.00581537
1546,0.005815954
1547,0.005817705
1548,0.005818873
1549,0.005819457
1550,0.005821793
1551,0.005822377
1552,0.00582413
1553,0.005826469
1554,0.005827053
1555,0.005828223
1556,0.005832317
1557,0.005835242
1558,0.005838754
1559,0.00584168
1560,0.005842851
1561,0.005843437
1562,0.005845194
1563,0.00584578
1564,0.005847537
1565,0.00584871
1566,0.005849296
1567,0.005851642
1568,0.005853402
1569,0.005854575
1570,0.005856923
1571,0.005858097
1572,0.005859271
1573,0.005859858
1574,0.005862207
1575,0.005863382
1576,0.005864557
1577,0.005865732
1578,0.005866908
1579,0.005868084
1580,0.005869849
1581,0.005871614
1582,0.00587279
1583,0.005875144
1584,0.005879264
1585,0.005881619
1586,0.005882797
1587,0.005885743
1588,0.005886332
1589,0.005887511
1590,0.00588869
1591,0.005891637
1592,0.005892226
1593,0.005892226
1594,0.005892226
1595,0.005893406
1596,0.005893996
1597,0.005895176
1598,0.005896946
1599,0.005899307
1600,0.005900488
1601,0.005901079
1602,0.00590285
1603,0.005904032
1604,0.005904032
1605,0.005904623
1606,0.005906987
1607,0.005907578
1608,0.005907578
1609,0.00590876
1610,0.00590876
1611,0.005909351
1612,0.005911125
1613,0.005911716
1614,0.005912308
1615,0.00591349
1616,0.005917039
1617,0.005918222
1618,0.005919406
1619,0.005919998
1620,0.005922366
1621,0.005925327
1622,0.005927104
1623,0.005927697
1624,0.005928883
1625,0.005930662
1626,0.005931255
1627,0.005933036
1628,0.005933629
1629,0.005934223
1630,0.005935411
1631,0.005937193
1632,0.005938381
1633,0.005939569
1634,0.005939569
1635,0.005941947
1636,0.005943731
1637,0.005946704
1638,0.005949678
1639,0.005952058
1640,0.005953249
1641,0.00595444
1642,0.005955631
1643,0.005956823
1644,0.005958611
1645,0.005959207
1646,0.005960995
1647,0.005960995
1648,0.005960995
1649,0.005962784
1650,0.005963381
1651,0.00596517
1652,0.005966961
1653,0.005969946
1654,0.00597114
1655,0.005971738
1656,0.005974127
1657,0.005974725
1658,0.005975323
1659,0.005976518
1660,0.005979508
1661,0.005980705
1662,0.0059831
1663,0.005984896
1664,0.005986095
1665,0.005987293
1666,0.005989091
1667,0.005989691
1668,0.00599149
1669,0.005992689
1670,0.005993889
1671,0.00599509
1672,0.00599629
1673,0.005998091
1674,0.006001095
1675,0.006003499
1676,0.006004701
1677,0.006007707
1678,0.006008909
1679,0.006009511
1680,0.006010113
1681,0.006011316
1682,0.006011316
1683,0.006015531
1684,0.006015531
1685,0.006016134
1686,0.006017339
1687,0.006018544
1688,0.006020955
1689,0.006021558
1690,0.006025778
1691,0.006027587
1692,0.006028794
1693,0.006030604
1694,0.006032414
1695,0.006032414
1696,0.006034829
1697,0.006037244
1698,0.006039056
1699,0.006043287
1700,0.006043891
1701,0.006043891
1702,0.006046915
1703,0.006049335
1704,0.006054783
1705,0.006055389
1706,0.006055389
1707,0.006055389
1708,0.006058417
1709,0.006059023
1710,0.006059023
1711,0.006060235
1712,0.006060841
1713,0.006063266
1714,0.006064478
1715,0.006064478
1716,0.006065691
1717,0.006068118
1718,0.006069332
1719,0.006071153
1720,0.006072974
1721,0.006075402
1722,0.006076616
1723,0.006078438
1724,0.006081474
1725,0.006081474
1726,0.006082689
1727,0.006084513
1728,0.00608512
1729,0.006085728
1730,0.006086945
1731,0.00608877
1732,0.006089378
1733,0.006089987
1734,0.006091204
1735,0.006091813
1736,0.006092421
1737,0.006092421
1738,0.006093031
1739,0.006093031
1740,0.00609425
1741,0.006094859
1742,0.006096688
1743,0.006098518
1744,0.006099738
1745,0.006100959
1746,0.006101569
1747,0.00610218
1748,0.00610218
1749,0.006103401
1750,0.006104011
1751,0.006106454
1752,0.006109509
1753,0.006110732
1754,0.006111955
1755,0.006112567
1756,0.006113178
1757,0.006115014
1758,0.006115014
1759,0.006116851
1760,0.006118687
1761,0.006119912
1762,0.006122976
1763,0.006122976
1764,0.006125427
1765,0.006126041
1766,0.006126041
1767,0.006126041
1768,0.006127267
1769,0.006129107
1770,0.00612972
1771,0.006130947
1772,0.006132787
1773,0.006134015
1774,0.006134628
1775,0.006134628
1776,0.006135242
1777,0.006137698
1778,0.006138312
1779,0.006139541
1780,0.006139541
1781,0.006141385
1782,0.006141385
1783,0.006142
1784,0.006143844
1785,0.00614692
1786,0.006147535
1787,0.006148766
1788,0.006149382
1789,0.006149997
1790,0.006149997
1791,0.006153077
1792,0.006153693
1793,0.006154925
1794,0.006157391
1795,0.006157391
1796,0.006158008
1797,0.006158625
1798,0.006159242
1799,0.006161093
1800,0.006162327
1801,0.006165414
1802,0.006166031
1803,0.006168501
1804,0.006169119
1805,0.006170355
1806,0.00617221
1807,0.006173447
1808,0.006174065
1809,0.006175922
1810,0.006175922
1811,0.00617716
1812,0.006179018
1813,0.006179018
1814,0.006180257
1815,0.006180877
1816,0.006182736
1817,0.006184596
1818,0.006186456
1819,0.006188317
1820,0.006189558
1821,0.0061908
1822,0.006192042
1823,0.006193284
1824,0.006193906
1825,0.006194527
